file,line,verdict,why,before,after
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,963,DELETE,reads plainer and stricter without it,A material handoff must preserve:,A handoff must preserve:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1014,DELETE,reads plainer and stricter without it,Material organisational governance should preserve:,organisational governance should preserve:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1033,DELETE,reads plainer and stricter without it,Every material council or committee should define:,Every council or committee should define:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1095,DELETE,reads plainer and stricter without it,* remain free from material conflicts.,* remain free from conflicts.
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1138,DELETE,reads plainer and stricter without it,Every material agent must have an accountable human or governance owner.,Every agent must have an accountable human or governance owner.
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1173,DELETE,reads plainer and stricter without it,* material knowledge;,* knowledge;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1221,DELETE,reads plainer and stricter without it,Humans remain materially responsible for:,Humans remain responsible for:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1233,DELETE,reads plainer and stricter without it,Key-person risk exists where the loss or unavailability of an individual could materially impair:,Key-person risk exists where the loss or unavailability of an individual could impair:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1543,DELETE,reads plainer and stricter without it,* constitutional trust is materially lost;,* constitutional trust is lost;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1546,DELETE,reads plainer and stricter without it,* performance materially fails;,* performance fails;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1655,DELETE,reads plainer and stricter without it,Every material organisational unit should identify how it will continue through:,Every organisational unit should identify how it will continue through:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1733,DELETE,reads plainer and stricter without it,Material cultural drift requires governance attention.,cultural drift requires governance attention.
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,2006,DELETE,reads plainer and stricter without it,> Assign one clear accountable owner for every material matter.,> Assign one clear accountable owner for every matter.
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,2063,DELETE,reads plainer and stricter without it,* every material matter has a clear accountable owner;,* every matter has a clear accountable owner;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,154,DELETE,reads plainer and stricter without it,Every material delivery item must explain why it exists.,Every delivery item must explain why it exists.
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,250,DELETE,reads plainer and stricter without it,Material discovery should ask:,discovery should ask:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,509,DELETE,reads plainer and stricter without it,Material design should be reviewed for:,design should be reviewed for:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,577,DELETE,reads plainer and stricter without it,Nexus should preserve flexibility where circumstances materially differ.,Nexus should preserve flexibility where circumstances differ.
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,583,DELETE,reads plainer and stricter without it,Material design must assume that:,design must assume that:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,687,DELETE,reads plainer and stricter without it,A material delivery plan should identify:,A delivery plan should identify:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,803,DELETE,reads plainer and stricter without it,Material deviation must be recorded and approved where required.,deviation must be recorded and approved where required.
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,946,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,"Where consequence is material, verification or validation should include someone or something sufficiently independent","Where consequence, verification or validation should include someone or something sufficiently independent"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,962,DELETE,reads plainer and stricter without it,A material test strategy should identify:,A test strategy should identify:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1006,DELETE,reads plainer and stricter without it,Material test evidence should identify:,test evidence should identify:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1054,DELETE,reads plainer and stricter without it,"Prevents essential value, creates material stakeholder harm, or significantly undermines quality.","Prevents essential value, creates stakeholder harm, or significantly undermines quality."
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1108,DELETE,reads plainer and stricter without it,Material delivery should pass proportionate gates.,delivery should pass proportionate gates.
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1152,DELETE,reads plainer and stricter without it,* material defects are resolved or accepted;,* defects are resolved or accepted;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1190,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* material risks are accepted;,* risks are accepted;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1299,DELETE,reads plainer and stricter without it,Material services may define:,services may define:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1872,DELETE,reads plainer and stricter without it,Material delivery governance should provide:,delivery governance should provide:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1933,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,* conflicts of interest are material;,* conflicts of interest;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1986,DELETE,reads plainer and stricter without it,* accessibility is materially compromised;,* accessibility is compromised;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1995,DELETE,reads plainer and stricter without it,Material delivery reporting should distinguish:,delivery reporting should distinguish:
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2056,DELETE,reads plainer and stricter without it,Material enhancement is active.,enhancement is active.
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2264,DELETE,reads plainer and stricter without it,* approve material scope and release;,* approve scope and release;
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2374,DELETE,reads plainer and stricter without it,10. material defects and limitations;,10. defects and limitations;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,180,DELETE,reads plainer and stricter without it,A material divergence between:,A divergence between:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,189,DELETE,reads plainer and stricter without it,False or materially inaccurate information communicated without necessarily intending to deceive.,False or inaccurate information communicated without necessarily intending to deceive.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,195,DELETE,reads plainer and stricter without it,### Material Omission,### Omission
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,215,DELETE,reads plainer and stricter without it,"7. Uncertainty, limitations, conditions, and conflicts are disclosed where material.","7. Uncertainty, limitations, conditions, and conflicts are disclosed where."
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,235,DELETE,reads plainer and stricter without it,"Material claims must be supported by evidence proportionate to their importance, specificity, risk","claims must be supported by evidence proportionate to their importance, specificity, risk"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,255,DELETE,reads plainer and stricter without it,"Material sponsorship, automation, conflicts, limitations, conditions, risks, uncertainty, and comm","sponsorship, automation, conflicts, limitations, conditions, risks, uncertainty, and comm"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,306,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* material risk;,* risk;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,359,DELETE,reads plainer and stricter without it,* material service failures;,* service failures;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,520,DELETE,reads plainer and stricter without it,Each material brand must maintain a Brand Charter defining:,Each brand must maintain a Brand Charter defining:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,568,DELETE,reads plainer and stricter without it,"Material drift requires review, correction, suspension, or withdrawal.","drift requires review, correction, suspension, or withdrawal."
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,574,DELETE,reads plainer and stricter without it,Every material claim must be:,Every claim must be:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,626,DELETE,reads plainer and stricter without it,Every material reusable claim must have a Claim Passport containing:,Every reusable claim must have a Claim Passport containing:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,679,DELETE,reads plainer and stricter without it,* a material complaint is received.,* a complaint is received.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,755,DELETE,reads plainer and stricter without it,* inaccessible material conditions;,* inaccessible conditions;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,780,DELETE,reads plainer and stricter without it,* material exclusions;,* exclusions;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,793,DELETE,reads plainer and stricter without it,* disclose material relationships;,* disclose relationships;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,797,DELETE,reads plainer and stricter without it,* not be selectively edited into a materially different claim.,* not be selectively edited into a different claim.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,811,DELETE,reads plainer and stricter without it,* disguise its commercial purpose where material;,* disguise its commercial purpose where;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,892,DELETE,reads plainer and stricter without it,6. explain the effect without concealing material facts;,6. explain the effect without concealing facts;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,922,DELETE,reads plainer and stricter without it,* material evidence validity;,* evidence validity;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,968,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,* create a false impression of human interaction where that distinction is material;,* create a false impression of human interaction where that distinction;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,981,DELETE,reads plainer and stricter without it,AI involvement must be disclosed where its absence would create a materially false impression regarding:,AI involvement must be disclosed where its absence would create a false impression regarding:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,996,DELETE,reads plainer and stricter without it,t hidden in terms and conditions is insufficient where the communication itself creates a materially different impression.,t hidden in terms and conditions is insufficient where the communication itself creates a different impression.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1008,DELETE,reads plainer and stricter without it,* material transformations;,* transformations;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1031,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,Material uncertainty must not be concealed through confident language.,uncertainty must not be concealed through confident language.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1064,DELETE,reads plainer and stricter without it,#### Level 2 — Material Correction,#### Level 2 — Correction
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1070,DELETE,reads plainer and stricter without it,"Used where the central claim or communication is materially unreliable, unauthorised, deceptive, unsafe, or unsupported.","Used where the central claim or communication is unreliable, unauthorised, deceptive, unsafe, or unsupported."
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1083,DELETE,reads plainer and stricter without it,* explain the practical effect where material;,* explain the practical effect where;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1122,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,6. acknowledge material uncertainty;,6. acknowledge uncertainty;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1178,DELETE,reads plainer and stricter without it,Nexus must maintain proportionate capability to identify and respond to materially false information affecting:,Nexus must maintain proportionate capability to identify and respond to false information affecting:
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1294,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* material risks;,* risks;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1365,DELETE,reads plainer and stricter without it,4. evidence and technical material;,4. evidence and technical;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1585,DELETE,reads plainer and stricter without it,* reviews material constitutional brand drift;,* reviews constitutional brand drift;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1595,DELETE,reads plainer and stricter without it,* approves material governance and corporate positions;,* approves governance and corporate positions;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1662,DELETE,reads plainer and stricter without it,ommunicates only within delegated authority and remains accountable for understanding the material communicated.,ommunicates only within delegated authority and remains accountable for understanding the communicated.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1746,DELETE,reads plainer and stricter without it,* material limitations;,* limitations;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1846,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,"Are material claims supportable, current, and traceable?","Are claims supportable, current, and traceable?"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1886,DELETE,reads plainer and stricter without it,* a vulnerable stakeholder may be materially harmed;,* a vulnerable stakeholder may be harmed;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1891,DELETE,reads plainer and stricter without it,* a material correction is unresolved;,* a correction is unresolved;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1906,DELETE,reads plainer and stricter without it,* conceal material facts;,* conceal facts;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1912,DELETE,reads plainer and stricter without it,* represent automation as human judgement where material;,* represent automation as human judgement where;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1921,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,* publish synthetic media as authentic where the distinction is material;,* publish synthetic media as authentic where the distinction;
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1943,DELETE,reads plainer and stricter without it,* before material expansion into a new jurisdiction.,* before expansion into a new jurisdiction.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2042,DELETE,reads plainer and stricter without it,Could a reasonable stakeholder form a materially false understanding despite each individual sentence appearing technically defensible?,Could a reasonable stakeholder form a false understanding despite each individual sentence appearing technically defensible?
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2050,DELETE,reads plainer and stricter without it,Can each material claim be traced to current supporting evidence?,Can each claim be traced to current supporting evidence?
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2106,DELETE,reads plainer and stricter without it,"nguishable and not disguised as independent content, reviews, research, or user-generated material.","nguishable and not disguised as independent content, reviews, research, or user-generated."
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2121,DELETE,reads plainer and stricter without it,> Make material claims traceable to current evidence.,> Make claims traceable to current evidence.
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2124,DELETE,reads plainer and stricter without it,"> Do not disguise advertising, automation, uncertainty, sponsorship, or material limitations.","> Do not disguise advertising, automation, uncertainty, sponsorship, or limitations."
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,2128,DELETE,reads plainer and stricter without it,> Correct material error visibly and proportionately.,> Correct error visibly and proportionately.
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,91,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,A decision becomes material when it may significantly affect one or more of the following:,A decision when it may significantly affect one or more of the following:
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,126,DELETE,reads plainer and stricter without it,Material evidence should include:,evidence should include:
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,135,DELETE,reads plainer and stricter without it,Every material recommendation must state its confidence level.,Every recommendation must state its confidence level.
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,149,DELETE,reads plainer and stricter without it,The depth of analysis must be proportionate to materiality. Material proposals should undergo the following tests.,The depth of analysis must be proportionate to materiality. proposals should undergo the following tests.
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,240,DELETE,reads plainer and stricter without it,* evidence is materially contradictory;,* evidence is contradictory;
CHAPTER-3-decision-and-reasoning-framework-v0.1.md,342,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,"> Surface uncertainty, dissent, and material risk.","> Surface uncertainty, dissent, and risk."
CHAPTER-4-success-and-measurement-framework-v0.1.md,85,DELETE,reads plainer and stricter without it,Every material initiative must identify the capability it is intended to expand — understanding; practic,Every initiative must identify the capability it is intended to expand — understanding; practic
CHAPTER-4-success-and-measurement-framework-v0.1.md,157,DELETE,reads plainer and stricter without it,Every material metric should identify: definition; purpose; baseline; desired direction; target or accep,Every metric should identify: definition; purpose; baseline; desired direction; target or accep
CHAPTER-4-success-and-measurement-framework-v0.1.md,221,DELETE,reads plainer and stricter without it,"A profitable activity that materially undermines human capability, evidence integrity, accessibility, trust, or constitutional","A profitable activity that undermines human capability, evidence integrity, accessibility, trust, or constitutional"
CHAPTER-4-success-and-measurement-framework-v0.1.md,233,DELETE,reads plainer and stricter without it,**Material drift indicators require governance review.**,**drift indicators require governance review.**
CHAPTER-4-success-and-measurement-framework-v0.1.md,238,DELETE,reads plainer and stricter without it,**Monthly** — constitutional scorecard review; material exceptions; decision-quality sampling; metric anomalies; dependency and accessibility con,**Monthly** — constitutional scorecard review; exceptions; decision-quality sampling; metric anomalies; dependency and accessibility con
CHAPTER-4-success-and-measurement-framework-v0.1.md,247,DELETE,reads plainer and stricter without it,"Every material measure must have an accountable owner, responsible for: definition; evidence integrity;","Every measure must have an accountable owner, responsible for: definition; evidence integrity;"
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,42,DELETE,reads plainer and stricter without it,"fingerprints; non-delegable boundaries. **May not be silently changed, paraphrased into a materially different meaning, or replaced by operational convenience.**","fingerprints; non-delegable boundaries. **May not be silently changed, paraphrased into a different meaning, or replaced by operational convenience.**"
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,87,DELETE,reads plainer and stricter without it,Every material knowledge item must include enough provenance to answer: Where did this come from? Who cr,Every knowledge item must include enough provenance to answer: Where did this come from? Who cr
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,128,DELETE,reads plainer and stricter without it,"When material contradiction exists, Nexus must: (1) identify the exact claims in conflict; (2) compare","When contradiction exists, Nexus must: (1) identify the exact claims in conflict; (2) compare"
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,188,DELETE,reads plainer and stricter without it,"Every material knowledge domain must have an accountable steward, responsible for: accuracy; structure;","Every knowledge domain must have an accountable steward, responsible for: accuracy; structure;"
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,222,DELETE,reads plainer and stricter without it,"**Relevance ranking must not hide authoritative material merely because less reliable content is more recent, popular, or linguistically similar.*","**Relevance ranking must not hide authoritative merely because less reliable content is more recent, popular, or linguistically similar.*"
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,256,DELETE,reads plainer and stricter without it,Material knowledge should be tested for: accuracy; completeness; provenance; relevance; recency; i,knowledge should be tested for: accuracy; completeness; provenance; relevance; recency; i
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,272,DELETE,reads plainer and stricter without it,A material research package should identify: research question; constitutional relevance; scope; dec,A research package should identify: research question; constitutional relevance; scope; dec
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,321,DELETE,reads plainer and stricter without it,4. retain the current authoritative status of each material item;,4. retain the current authoritative status of each item;
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,332,DELETE,reads plainer and stricter without it,15. undergo validation before use in material reasoning.,15. undergo validation before use in reasoning.
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,356,DELETE,reads plainer and stricter without it,**Continuous** — capture material evidence; preserve provenance; identify contradictions; monitor security and integrity; r,**Continuous** — capture evidence; preserve provenance; identify contradictions; monitor security and integrity; r
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,384,DELETE,reads plainer and stricter without it,Before relying on a material knowledge item: (1) What is the claim? (2) What type of knowledge is it? (3) What support,Before relying on a knowledge item: (1) What is the claim? (2) What type of knowledge is it? (3) What support
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,416,DELETE,reads plainer and stricter without it,succeeds when: authorised people and agents can locate trustworthy knowledge when needed; material claims remain traceable to evidence; current and historical knowledge a,succeeds when: authorised people and agents can locate trustworthy knowledge when needed; claims remain traceable to evidence; current and historical knowledge are clearl
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,416,DELETE,reads plainer and stricter without it,e does not depend on individual memory; outdated information is identified before causing material harm; AI-generated content does not become authoritative without valida,e does not depend on individual memory; outdated information is identified before causing harm; AI-generated content does not become authoritative without validation; con
CHAPTER-5-knowledge-evidence-and-institutional-memory-v0.1.md,433,DELETE,reads plainer and stricter without it,rine-inheritance testing** | **❌ CANNOT RUN. §5.14 mandates inheritance at initiation and material transition points. No mechanism exists** — gitignored paths; `bootstrap,rine-inheritance testing** | **❌ CANNOT RUN. §5.14 mandates inheritance at initiation and transition points. No mechanism exists** — gitignored paths; `bootstrap.sh` wire
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,65,DELETE,reads plainer and stricter without it,irreversible disclosure of sensitive information; public moral or political positioning; material conflicts of interest; high-impact stakeholder vulnerability; emergency ,irreversible disclosure of sensitive information; public moral or political positioning; conflicts of interest; high-impact stakeholder vulnerability; emergency constitut
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,87,DELETE,reads plainer and stricter without it,"hin doctrine, within budget, logged, reversible, limited in scope, and unlikely to create material stakeholder harm.","hin doctrine, within budget, logged, reversible, limited in scope, and unlikely to create stakeholder harm."
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,89,DELETE,reads plainer and stricter without it,**Level 4 — Execute Bounded Material Operations.** Requires demonstrated reliability; defined monitoring; tested rollback; cle,**Level 4 — Execute Bounded Operations.** Requires demonstrated reliability; defined monitoring; tested rollback; cle
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,115,DELETE,reads plainer and stricter without it,atedly misinterpreted; an agent delegates without authority; **context compression causes material misunderstanding**; monitoring is unavailable; a conflict of interest e,atedly misinterpreted; an agent delegates without authority; **context compression causes misunderstanding**; monitoring is unavailable; a conflict of interest emerges; l
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,121,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,"**Fully Reversible** — undone without material cost, harm, loss, or stakeholder impact.","**Fully Reversible** — undone without cost, harm, loss, or stakeholder impact."
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,340,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,"> Escalate uncertainty, conflict, and material risk.","> Escalate uncertainty, conflict, and risk."
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,343,DELETE,reads plainer and stricter without it,> Every material exercise of power must be traceable.,> Every exercise of power must be traceable.
CHAPTER-6-authority-delegation-and-agent-autonomy-v0.1.md,365,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,"n, tool, and data powers are governed; high-risk actions receive proportionate oversight; material uncertainty triggers escalation; systems can be paused and recovered; a","n, tool, and data powers are governed; high-risk actions receive proportionate oversight; uncertainty triggers escalation; systems can be paused and recovered; authority "
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,16,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,This framework defines how Nexus continuously: observes relevant conditions; detects material change; interprets signals; identifies risks and opportunities; challenges a,This framework defines how Nexus continuously: observes relevant conditions; detects change; interprets signals; identifies risks and opportunities; challenges assumption
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,91,DELETE,reads plainer and stricter without it,**P1 — Material and Time-Critical.** Delay may materially reduce options or increase harm.,**P1 — and Time-Critical.** Delay may reduce options or increase harm.
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,215,DELETE,reads plainer and stricter without it,Every material alert: signal; consequence; confidence; urgency; evidence; affected objective; recommende,Every alert: signal; consequence; confidence; urgency; evidence; affected objective; recommende
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,223,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,consequence is high; an irreversible action may be required; stakeholder vulnerability is material; financial or reputational exposure crosses delegated thresholds; autho,consequence is high; an irreversible action may be required; stakeholder vulnerability; financial or reputational exposure crosses delegated thresholds; authority is uncl
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,233,DELETE,reads plainer and stricter without it,**Repeated minor drift may become a material constitutional issue.**,**Repeated minor drift may become a constitutional issue.**
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,261,DELETE,reads plainer and stricter without it,Required after: material failure; **unexpected success**; serious incident; constitutional exception; **significan,Required after: failure; **unexpected success**; serious incident; constitutional exception; **significan
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,267,DELETE,reads plainer and stricter without it,om fact**; **avoid generating unnecessary work**; **respect cognitive budgets**; escalate material conflict; preserve constitutional fingerprints; record significant loop,om fact**; **avoid generating unnecessary work**; **respect cognitive budgets**; escalate conflict; preserve constitutional fingerprints; record significant loop transiti
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,273,DELETE,reads plainer and stricter without it,is reserved; **prevent cognitive overload**; maintain escalation responsiveness; approve material action; review significant outcomes; ensure learning becomes governed im,is reserved; **prevent cognitive overload**; maintain escalation responsiveness; approve action; review significant outcomes; ensure learning becomes governed improvement
