file,line,bucket,phrase,qualified_noun,context,proposed_replacement
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1546,JUDGEMENT,materially,fails;,* performance materially fails;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1611,LIST,material,work.,w units must inherit relevant constitutional and operational frameworks before commencing material work.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1655,JUDGEMENT,material,organisational unit should identify,Every material organisational unit should identify how it will continue through:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1733,JUDGEMENT,Material,cultural drift requires governance,Material cultural drift requires governance attention.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1795,LIST,Material,organisational communication should identify:,Material organisational communication should identify:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1879,LIST,Material,organisational changes should record:,Material organisational changes should record:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1904,LIST,material,role changes;,* record material role changes;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,2006,JUDGEMENT,material,matter.,> Assign one clear accountable owner for every material matter.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,2063,JUDGEMENT,material,matter has a clear,* every material matter has a clear accountable owner;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,154,JUDGEMENT,material,delivery item must explain,Every material delivery item must explain why it exists.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,250,JUDGEMENT,Material,discovery should ask:,Material discovery should ask:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,411,LIST,material,changes are visible;,* material changes are visible;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,509,JUDGEMENT,Material,design should be reviewed,Material design should be reviewed for:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,529,LIST,Material,systems and operating models,Material systems and operating models should define:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,577,JUDGEMENT,materially,differ.,Nexus should preserve flexibility where circumstances materially differ.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,583,JUDGEMENT,Material,design must assume that:,Material design must assume that:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,652,LIST,material,decisions;,* explain material decisions;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,687,JUDGEMENT,material,delivery plan should identify:,A material delivery plan should identify:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,803,JUDGEMENT,Material,deviation must be recorded,Material deviation must be recorded and approved where required.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,896,LIST,material,reliance.,Supplier outputs must be validated before material reliance.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,946,JUDGEMENT,material,", verification or validation","Where consequence is material, verification or validation should include someone or something sufficiently independent","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,962,JUDGEMENT,material,test strategy should identify:,A material test strategy should identify:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1006,JUDGEMENT,Material,test evidence should identify:,Material test evidence should identify:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1054,JUDGEMENT,material,"stakeholder harm, or significantly","Prevents essential value, creates material stakeholder harm, or significantly undermines quality.","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1108,JUDGEMENT,Material,delivery should pass proportionate,Material delivery should pass proportionate gates.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1152,JUDGEMENT,material,defects are resolved or,* material defects are resolved or accepted;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1190,JUDGEMENT,material,risks are accepted;,* material risks are accepted;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1299,JUDGEMENT,Material,services may define:,Material services may define:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1360,LIST,Material,systems and processes should,Material systems and processes should make their state understandable.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1375,THRESHOLD,material,failure cannot be detected,An outcome cannot be responsibly operated where material failure cannot be detected or investigated.,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1482,LIST,Material,debt records should identify:,Material debt records should identify:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1667,LIST,materially,.,"Changes the delivery model, capability, architecture, or operating system materially.",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1675,LIST,material,change should identify:,A material change should identify:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1715,LIST,Material,delivery assets must preserve:,Material delivery assets must preserve:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1872,JUDGEMENT,Material,delivery governance should provide:,Material delivery governance should provide:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1933,JUDGEMENT,material,;,* conflicts of interest are material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1981,LIST,materially,;,* scope changes materially;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1986,JUDGEMENT,materially,compromised;,* accessibility is materially compromised;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1989,THRESHOLD,materially,;,* cost or schedule changes materially;,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,1995,JUDGEMENT,Material,delivery reporting should distinguish:,Material delivery reporting should distinguish:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2056,JUDGEMENT,Material,enhancement is active.,Material enhancement is active.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2238,LIST,material,decisions;,* record material decisions;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2264,JUDGEMENT,material,scope and release;,* approve material scope and release;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-12-delivery-quality-lifecycle-and-operational-excellence-v0.1.md,2374,JUDGEMENT,material,defects and limitations;,10. material defects and limitations;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,95,NOT-IN-SCOPE,materials,;,* educational materials;,not the qualifier — leave alone
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,180,JUDGEMENT,material,divergence between:,A material divergence between:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,189,JUDGEMENT,materially,inaccurate information communicated without,False or materially inaccurate information communicated without necessarily intending to deceive.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,195,JUDGEMENT,Material,Omission,### Material Omission,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,201,LIST,materially,altered by artificial intelligence,"ery, video, likenesses, voices, environments, demonstrations, or other media generated or materially altered by artificial intelligence or automated systems.",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,215,JUDGEMENT,material,.,"7. Uncertainty, limitations, conditions, and conflicts are disclosed where material.","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,235,JUDGEMENT,Material,claims must be supported,"Material claims must be supported by evidence proportionate to their importance, specificity, risk","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,255,JUDGEMENT,Material,"sponsorship, automation, conflicts, limitations,","Material sponsorship, automation, conflicts, limitations, conditions, risks, uncertainty, and comm","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,263,LIST,material,"error occurs, protecting stakeholders","When material error occurs, protecting stakeholders and restoring the record take priority over avoidin",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,281,LIST,material,communication must be classified,Every material communication must be classified before approval and publication.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,306,JUDGEMENT,material,risk;,* material risk;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,359,JUDGEMENT,material,service failures;,* material service failures;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,473,LIST,material,incident is underway;,* a material incident is underway;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,520,JUDGEMENT,material,brand must maintain a,Each material brand must maintain a Brand Charter defining:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,568,JUDGEMENT,Material,"drift requires review, correction,","Material drift requires review, correction, suspension, or withdrawal.","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,574,JUDGEMENT,material,claim must be:,Every material claim must be:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,626,JUDGEMENT,material,reusable claim must have,Every material reusable claim must have a Claim Passport containing:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,679,JUDGEMENT,material,complaint is received.,* a material complaint is received.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,729,THRESHOLD,material,"expectations about a product,","Where a communication creates material expectations about a product, service, feature, policy, deadline, price, outcome, or supp",delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,755,JUDGEMENT,material,conditions;,* inaccessible material conditions;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,780,JUDGEMENT,material,exclusions;,* material exclusions;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,793,JUDGEMENT,material,relationships;,* disclose material relationships;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,797,JUDGEMENT,materially,different claim.,* not be selectively edited into a materially different claim.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,811,JUDGEMENT,material,;,* disguise its commercial purpose where material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,850,THRESHOLD,material,public commitment may be,No material public commitment may be issued without:,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,885,THRESHOLD,material,commitment may not be,"Where a material commitment may not be fulfilled, Nexus must:",delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,892,JUDGEMENT,material,facts;,6. explain the effect without concealing material facts;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,922,JUDGEMENT,material,evidence validity;,* material evidence validity;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,930,LIST,material,AI-assisted communication must remain,Every material AI-assisted communication must remain attributable to an accountable human role or author,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,968,JUDGEMENT,material,;,* create a false impression of human interaction where that distinction is material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,981,JUDGEMENT,materially,false impression regarding:,AI involvement must be disclosed where its absence would create a materially false impression regarding:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,996,JUDGEMENT,materially,different impression.,t hidden in terms and conditions is insufficient where the communication itself creates a materially different impression.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1000,LIST,Material,"AI-generated communications must preserve,","Material AI-generated communications must preserve, where proportionate:",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1006,NOT-IN-SCOPE,materials,;,* source materials;,not the qualifier — leave alone
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1008,JUDGEMENT,material,transformations;,* material transformations;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1031,JUDGEMENT,Material,uncertainty must not be,Material uncertainty must not be concealed through confident language.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1056,LIST,material,error.,must maintain a correction process capable of restoring the information environment after material error.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1062,LIST,materially,correct but could be,Used where the original communication remains materially correct but could be clearer.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1064,JUDGEMENT,Material,Correction,#### Level 2 — Material Correction,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1070,JUDGEMENT,materially,"unreliable, unauthorised, deceptive, unsafe,","Used where the central claim or communication is materially unreliable, unauthorised, deceptive, unsafe, or unsupported.","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1083,JUDGEMENT,material,;,* explain the practical effect where material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1122,JUDGEMENT,material,uncertainty;,6. acknowledge material uncertainty;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1148,LIST,Material,crisis communications must be,Material crisis communications must be coordinated through an identified authoritative source.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1178,JUDGEMENT,materially,false information affecting:,Nexus must maintain proportionate capability to identify and respond to materially false information affecting:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1186,LIST,material,decisions;,* material decisions;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1273,LIST,Material,internal communication must make,Material internal communication must make clear:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1294,JUDGEMENT,material,risks;,* material risks;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1365,JUDGEMENT,material,;,4. evidence and technical material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1370,LIST,Material,communication may require:,Material communication may require:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1405,LIST,materially,changes.,* reviewed when the use materially changes.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1458,LIST,material,"subject, Nexus must identify","For each material subject, Nexus must identify where stakeholders can find the current authoritative versio",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1460,THRESHOLD,material,policy or commitment.,"agent answers, or third-party publications must not silently become the sole source of a material policy or commitment.",delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1464,LIST,Material,communications must preserve:,Material communications must preserve:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1585,JUDGEMENT,material,constitutional brand drift;,* reviews material constitutional brand drift;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1595,JUDGEMENT,material,governance and corporate positions;,* approves material governance and corporate positions;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-13-communication-brand-representation-and-public-trust-v0.1.md,1662,JUDGEMENT,material,communicated.,ommunicates only within delegated authority and remains accountable for understanding the material communicated.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
